Year	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
1995	7990000	10186000	8379000	855000	10358000	81139000	5233000	1433000	39787000	5119000	57802000	10746000	4617000	10349000	3592000	57174000	3627000	408000	2508000	377000	15468000	38459000	10091000	22965000	8836000	1991000	5375000	57932000	265164000	126365000	1240921000	29164000	45293000	162020000	963923000	91663000	148227000	17993000	6996000	58486000	21356000	4367000	196934000	41436000	743025000	229461000	80088000	675834000	107326000
1996	8018000	10208000	8292000	873000	10350000	81324000	5255000	1418000	39909000	5137000	58012000	10832000	4575000	10332000	3620000	57065000	3604000	414000	2479000	380000	15563000	38510000	10134000	22806000	8859000	1989000	5385000	58114000	268335000	126644000	1251636000	29458000	45751000	164615000	982365000	93147000	148021000	18189000	7038000	59423000	21489000	4393000	199901000	42241000	757451000	233308000	79599000	693120000	109926000
1997	8033000	10224000	8212000	891000	10338000	81399000	5278000	1410000	40035000	5152000	58221000	10906000	4532000	10308000	3651000	56904000	3580000	420000	2453000	384000	15655000	38545000	10175000	22638000	8869000	1987000	5391000	58307000	271714000	126893000	1261996000	29742000	46196000	167209000	1000900000	94611000	147730000	18387000	7069000	60373000	21608000	4420000	202826000	42987000	771691000	237128000	79052000	710751000	112473000
1998	8041000	10237000	8138000	909000	10323000	81403000	5300000	1406000	40202000	5164000	58444000	10970000	4492000	10280000	3688000	56743000	3555000	426000	2431000	387000	15746000	38564000	10214000	22466000	8871000	1987000	5395000	58510000	275175000	127117000	1271982000	30022000	46621000	169785000	1019484000	96056000	147361000	18587000	7092000	61330000	21722000	4447000	205725000	43682000	785773000	240907000	78464000	728755000	115020000
1999	8051000	10255000	8067000	926000	10306000	81390000	5322000	1404000	40454000	5176000	58704000	11028000	4456000	10249000	3731000	56656000	3529000	431000	2408000	391000	15836000	38568000	10255000	22298000	8873000	1988000	5398000	58716000	278548000	127326000	1281515000	30303000	47017000	172319000	1038058000	97485000	146916000	18788000	7115000	62287000	21839000	4474000	208615000	44339000	799743000	244624000	77862000	747165000	117636000
2000	8069000	10282000	7998000	943000	10289000	81401000	5341000	1399000	40825000	5188000	59015000	11082000	4428000	10221000	3783000	56692000	3502000	436000	2384000	394000	15926000	38557000	10297000	22137000	8882000	1988000	5399000	58923000	281711000	127524000	1290551000	30588000	47379000	174790000	1056576000	98900000	146405000	18991000	7144000	63240000	21967000	4499000	211514000	44968000	813627000	248274000	77273000	766016000	120376000
2001	8098000	10319000	7931000	960000	10271000	81454000	5358000	1392000	41319000	5200000	59384000	11134000	4408000	10193000	3842000	56875000	3474000	440000	2359000	396000	16018000	38530000	10341000	21989000	8898000	1987000	5400000	59124000	284608000	127714000	1299130000	30880000	47706000	177196000	1075000000	100298000	145831000	19195000	7179000	64192000	22109000	4523000	214427000	45571000	827456000	251847000	76705000	785332000	123234000
2002	8134000	10365000	7866000	977000	10252000	81535000	5373000	1383000	41920000	5213000	59803000	11182000	4396000	10167000	3908000	57183000	3445000	444000	2333000	399000	16110000	38489000	10386000	21853000	8921000	1987000	5400000	59326000	287279000	127893000	1307352000	31178000	48000000	179538000	1093317000	101685000	145216000	19401000	7220000	65145000	22262000	4546000	217358000	46151000	841219000	255348000	76157000	805147000	126211000
2003	8176000	10419000	7804000	994000	10239000	81614000	5387000	1373000	42596000	5227000	60252000	11219000	4389000	10141000	3980000	57565000	3414000	447000	2306000	401000	16201000	38442000	10430000	21720000	8951000	1988000	5400000	59561000	289816000	128058000	1315304000	31488000	48261000	181809000	1111523000	103081000	144611000	19624000	7268000	66089000	22420000	4570000	220309000	46719000	854861000	258782000	75643000	825529000	129383000
2004	8217000	10480000	7745000	1010000	10239000	81646000	5403000	1364000	43308000	5242000	60698000	11235000	4384000	10114000	4058000	57948000	3381000	452000	2279000	403000	16287000	38400000	10471000	21578000	8991000	1990000	5399000	59873000	292355000	128204000	1323085000	31815000	48493000	184006000	1129623000	104515000	144081000	19880000	7324000	67011000	22570000	4598000	223286000	47292000	868311000	262163000	75163000	846551000	132839000
2005	8254000	10547000	7687000	1028000	10258000	81603000	5422000	1356000	44019000	5259000	61120000	11225000	4378000	10086000	4141000	58281000	3344000	458000	2252000	405000	16367000	38369000	10508000	21417000	9039000	1995000	5399000	60288000	294994000	128326000	1330776000	32164000	48701000	186127000	1147610000	106005000	143672000	20179000	7387000	67903000	22706000	4632000	226289000	47881000	881525000	265498000	74721000	868273000	136633000
2006	8285000	10619000	7631000	1046000	10299000	81472000	5444000	1349000	44729000	5277000	61509000	11185000	4371000	10056000	4231000	58543000	3303000	466000	2225000	406000	16440000	38354000	10543000	21234000	9096000	2002000	5399000	60821000	297759000	128423000	1338409000	32537000	48880000	188167000	1165486000	107560000	143403000	20526000	7458000	68757000	22824000	4673000	229318000	48489000	894481000	268787000	74325000	890721000	140801000
2007	8314000	10698000	7577000	1064000	10358000	81278000	5470000	1344000	45429000	5298000	61869000	11120000	4362000	10024000	4325000	58748000	3259000	475000	2198000	408000	16507000	38353000	10573000	21034000	9163000	2012000	5399000	61455000	300608000	128494000	1345994000	32931000	49035000	190130000	1183209000	109171000	143266000	20916000	7537000	69582000	22927000	4719000	232374000	49120000	907231000	272030000	73968000	913902000	145291000
2008	8342000	10779000	7524000	1082000	10425000	81066000	5498000	1340000	46069000	5319000	62209000	11040000	4353000	9992000	4416000	58922000	3213000	485000	2171000	409000	16568000	38357000	10595000	20830000	9236000	2023000	5399000	62145000	303486000	128539000	1353569000	33338000	49182000	192030000	1200670000	110815000	143249000	21332000	7623000	70419000	23019000	4771000	235470000	49779000	919903000	275247000	73649000	937845000	149948000
2009	8373000	10860000	7474000	1098000	10488000	80900000	5526000	1336000	46584000	5342000	62543000	10959000	4341000	9959000	4495000	59106000	3167000	497000	2145000	412000	16626000	38352000	10604000	20638000	9313000	2034000	5401000	62829000	306308000	128555000	1361169000	33746000	49347000	193887000	1217726000	112464000	143327000	21751000	7714000	71321000	23105000	4827000	238621000	50477000	932678000	278455000	73350000	962569000	154567000
2010	8410000	10939000	7425000	1113000	10537000	80827000	5555000	1332000	46931000	5366000	62880000	10888000	4328000	9927000	4554000	59325000	3124000	508000	2119000	414000	16683000	38330000	10596000	20472000	9390000	2043000	5404000	63460000	309011000	128542000	1368811000	34148000	49546000	195714000	1234281000	114093000	143479000	22155000	7809000	72327000	23188000	4886000	241834000	51217000	945684000	281673000	73068000	988087000	158987000
